Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1936,61656,103,166.8,13703.0,21,200,0
1936,64889,116,249.4,15151.8,33,235,1
1738,54559,107,322.0,11833.8,23,166,0
1738,65535,104,264.4,15157.4,41,147,1
1743,50667,123,446.4,11599.0,18,159,0
1743,64564,42,340.8,14410.2,30,187,1
1596,61520,80,326.6,13209.4,45,191,1
1596,49337,67,158.6,10618.8,26,120,0
1665,47382,153,501.4,11127.0,21,115,0
1665,62651,113,361.2,14258.6,44,192,1
1664,58311,74,379.8,13354.6,30,201,1
1664,51321,63,184.8,11410.6,13,123,0
1237,31886,54,406.6,7288.8,8,98,0
1237,42254,65,374.6,8758.6,19,107,1
1740,53989,95,256.6,12590.4,21,145,0
1740,63655,149,386.8,14392.0,35,180,1
2109,78201,173,398.6,19511.0,48,186,1
2109,71609,153,213.0,16298.8,42,183,0
1347,38447,53,247.4,8416.6,12,80,0
1347,44610,94,229.4,10003.4,23,137,1
1260,33103,60,167.2,7308.4,12,93,0
1260,46273,68,259.4,9676.8,28,91,1
1414,53506,101,318.0,12281.0,32,131,1
1414,41863,62,298.0,9500.2,14,97,0
2091,80214,172,409.6,19301.4,43,183,1
2091,68077,132,210.4,15832.8,22,213,0
2414,80483,112,235.4,19427.4,38,282,0
2414,81554,155,176.0,20192.6,36,256,1
1740,59935,115,422.4,14616.0,34,212,1
1740,46107,62,333.0,10953.2,5,174,0
193,4515,3,197.2,703.0,0,2,0
193,5361,0,449.6,744.2,1,2,1
1585,55973,123,349.2,12123.6,34,129,1
1585,47583,140,135.8,10950.4,24,105,0
1807,60286,97,421.0,13907.6,42,92,0
1807,75414,131,242.8,15559.2,57,124,1
1491,45411,231,269.8,11070.4,30,107,0
1491,61482,124,242.8,12745.6,43,88,1
2225,79964,132,243.0,20040.0,55,207,1
2225,82232,123,242.8,17955.4,60,234,0
1435,54995,65,535.6,12224.4,29,127,1
1435,42839,74,213.4,9310.2,17,114,0
995,34079,66,152.4,6898.6,18,79,1
995,25749,46,388.6,5599.8,4,62,0
1437,58300,47,367.6,12902.6,40,134,1
1437,45117,49,395.8,9820.0,17,98,0
2125,69997,101,83.8,17435.8,36,194,1
2125,74606,78,207.2,17656.6,40,187,0
1508,56111,67,225.0,12235.6,30,167,1
1508,47950,56,267.8,10827.8,23,131,0
1681,50542,85,537.0,11684.4,26,136,0
1681,62908,109,368.0,13800.8,38,171,1
1018,25572,44,437.8,5495.4,4,58,0
1018,40034,37,232.4,7790.2,20,73,1
1816,59542,141,290.2,14785.6,25,176,1
1816,54404,137,328.6,12042.8,11,165,0
1624,60058,78,259.0,13561.6,38,141,1
1624,50045,65,305.4,11142.8,26,125,0
1636,46542,152,492.4,10486.4,19,161,0
1636,57910,129,276.8,13394.6,36,155,1
1736,50597,61,345.4,11605.2,10,159,0
1736,59927,102,141.6,14522.2,31,190,1
874,20267,18,396.6,4410.2,6,43,0
874,32041,37,323.0,6251.4,14,62,1
2845,95340,175,215.6,23544.4,41,271,1
2845,95868,176,250.6,27022.2,42,221,0
2135,62992,165,218.4,14306.6,19,186,0
2135,70623,152,382.4,16424.8,26,226,1
1628,66931,93,288.6,13578.2,50,132,1
1628,55990,84,234.2,12015.6,29,123,0
1766,61424,104,126.0,13639.8,42,148,0
1766,68460,93,371.4,13945.0,43,232,1
2079,78557,160,363.0,17475.6,47,222,1
2079,76241,143,477.6,16850.6,46,249,0
1448,54512,230,266.2,11237.2,36,135,1
