Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1636,46831,57,451.8,11256.2,16,98,0
1636,59422,223,415.8,13783.0,32,137,1
1112,30453,43,438.8,7199.0,8,54,0
1112,40309,61,337.6,8975.8,24,81,1
1767,55022,70,504.0,13394.6,17,144,0
1767,61586,93,317.8,15400.6,25,150,1
1456,43223,60,361.6,9376.8,13,109,0
1456,51064,85,414.4,11996.0,30,119,1
1665,52651,85,295.6,11475.4,25,170,0
1665,59532,124,349.8,13070.8,41,156,1
1286,38003,66,281.2,7982.2,8,99,0
1286,45540,67,240.8,9135.2,23,106,1
1710,55073,33,346.4,12658.6,26,125,0
1710,63770,73,412.0,14768.4,39,199,1
1121,32125,21,475.0,7235.8,8,92,0
1121,38889,58,391.2,8754.8,22,99,1
1867,53504,100,389.6,12316.0,24,187,0
1867,62270,108,536.2,14042.2,38,224,1
1758,64737,51,364.6,14613.8,29,158,1
1758,51176,77,486.0,12015.8,17,143,0
2183,76325,140,427.6,18384.6,45,224,1
2183,71126,104,197.8,15467.2,28,182,0
1451,48175,55,459.0,11475.6,18,134,1
1451,42585,93,425.4,9962.6,18,110,0
1815,63210,66,500.4,15069.4,28,167,1
1815,57175,98,342.8,12660.8,20,178,0
1632,52222,73,257.6,11272.6,29,143,0
1632,64440,95,390.0,14246.6,50,182,1
1695,60407,100,430.8,13238.2,37,203,1
1695,48469,53,327.8,11157.6,22,135,0
1666,60665,147,528.4,13424.8,38,173,1
1666,50103,93,257.4,11862.6,22,104,0
2794,92012,111,397.4,22780.4,40,290,0
2794,90955,190,365.4,23932.0,42,282,1
1742,50279,90,409.2,12373.8,23,167,0
1742,66874,69,308.4,14654.2,38,244,1
1824,53803,85,500.8,11776.2,18,159,0
1824,66338,104,365.4,15924.4,34,148,1
1243,30653,52,419.4,6843.4,8,89,0
1243,42416,122,357.2,8900.8,21,118,1
1336,48421,91,349.6,11005.6,25,134,1
1336,35345,70,483.8,8308.8,6,94,0
1794,57177,83,332.8,13345.8,22,127,1
1794,49319,94,443.4,11707.8,15,129,0
1013,34579,93,400.8,7936.6,16,84,1
1013,24773,36,277.2,6145.2,4,53,0
1503,45488,106,355.4,10503.4,23,129,0
1503,52307,82,451.2,11860.2,32,134,1
1936,67330,121,345.2,15208.8,36,195,1
1936,54914,102,365.4,12595.6,22,160,0
1575,55054,65,307.6,12155.6,34,153,1
1575,47927,101,332.8,9750.0,17,145,0
1780,59203,174,377.6,13538.0,39,132,0
1780,66068,109,322.8,14498.2,38,195,1
1887,58505,105,272.2,14519.0,32,162,0
1887,71558,99,96.4,17455.0,38,182,1
2129,76486,178,253.6,18894.6,41,206,0
2129,74579,161,205.0,16538.2,36,277,1
914,31471,37,93.8,6834.6,16,64,1
914,20123,25,379.4,5326.4,0,30,0
1340,51189,80,253.8,11437.0,27,101,1
1340,41255,81,417.6,9314.6,21,108,0
1420,45258,118,400.4,9883.6,24,124,0
1420,45158,81,293.2,9984.8,24,154,1
1206,49279,29,241.8,9816.0,34,92,1
1206,34804,58,261.6,7044.6,12,86,0
1645,53228,60,514.8,11851.6,25,108,0
1645,61379,52,387.4,13745.4,34,111,1
2024,70236,106,310.8,17086.4,40,190,1
2024,65418,141,372.8,16180.2,28,156,0
945,26622,60,234.2,6341.2,11,55,0
945,32286,63,127.2,6795.2,19,59,1
1708,47003,85,249.6,11254.4,16,137,0
1708,60647,103,215.2,14273.4,36,162,1
1435,54995,65,535.6,12224.4,29,127,1
1435,42839,74,213.4,9310.2,17,114,0
1739,61015,72,301.6,15058.8,31,160,1
1739,55349,121,373.2,12300.6,28,181,0
1806,54978,88,173.8,12868.6,19,140,0
1806,70315,140,478.2,16452.0,45,178,1
1486,45480,207,204.4,10022.8,18,168,0
1486,49745,59,326.0,11406.8,26,120,1
2089,74542,175,152.4,17786.6,46,191,1
2089,70576,137,359.6,16121.2,39,172,0
1541,42037,103,340.0,10090.6,11,98,0
1541,56388,99,282.4,12390.6,34,143,1
1943,58733,131,299.2,13216.2,26,185,0
1943,67933,195,379.0,15760.8,34,207,1
1674,52352,96,198.4,11885.8,17,151,0
1674,60236,117,242.6,13986.4,34,204,1
963,36131,66,265.4,7452.0,25,69,1
963,25344,32,483.6,6007.0,11,58,0
1697,61306,129,192.2,13448.0,37,162,1
1697,53456,77,467.2,11907.4,26,152,0
1432,41178,41,276.8,9483.2,17,134,0
1432,51256,41,345.8,11566.8,29,119,1
1997,69686,178,359.6,16694.6,38,225,1
1997,64047,106,331.4,14756.8,25,249,0
1444,46370,91,246.6,10887.6,25,127,1
1444,44323,90,230.0,9677.4,18,152,0
2225,75949,169,168.0,17384.4,48,228,1
2225,71801,194,350.6,16035.6,40,254,0
1650,54303,127,408.2,11327.2,24,154,0
1650,55085,154,435.2,11751.8,28,175,1
1471,43097,85,264.0,9971.4,14,112,0
1471,58218,124,378.6,12837.2,39,118,1
1181,45876,175,348.4,9316.4,33,90,1
1181,34280,57,319.8,7646.6,14,82,0
1384,46351,63,280.2,10417.4,26,123,1
1384,38368,55,287.6,8304.8,10,107,0
1720,50361,74,298.2,11604.8,18,151,0
1720,66036,45,174.6,15011.2,33,192,1
1226,33777,46,341.6,7977.2,9,103,0
1226,39539,53,298.0,9263.8,15,79,1
1716,52226,72,266.0,12471.0,21,165,0
1716,58106,196,244.2,14527.8,34,187,1
1111,42163,56,204.8,8639.2,17,106,1
1111,27548,53,369.4,6672.4,4,60,0
2190,74867,128,266.4,18445.6,42,245,1
2190,69203,184,398.0,15727.8,37,232,0
2107,72419,121,337.6,17547.8,40,215,1
2107,66021,67,417.0,14544.2,28,207,0
1709,55405,59,248.2,12169.4,23,131,0
1709,64440,68,182.2,14006.8,37,192,1
914,21898,28,260.0,4830.0,5,51,0
914,35108,54,368.6,7077.8,23,63,1
