Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1008,39648,67,216.4,7169.4,31,58,1
1008,25615,47,296.6,5673.4,8,101,0
1695,51361,111,250.8,12189.6,19,133,0
1695,64452,103,420.4,13277.0,36,129,1
1881,59797,127,305.6,13929.4,33,159,0
1881,72156,148,231.8,15861.0,50,169,1
1556,61947,64,293.8,14433.4,42,110,1
1556,46361,96,354.2,11213.0,19,120,0
1891,65418,134,358.0,15185.0,39,169,1
1891,54741,142,288.4,13319.8,28,153,0
1210,36833,53,386.8,7358.8,17,60,0
1210,43275,87,570.8,9299.0,29,115,1
1668,58087,74,164.0,13891.8,31,170,1
1668,46514,50,298.8,12271.2,15,108,0
1349,38994,84,355.0,9046.2,10,95,0
1349,42303,118,301.6,9676.8,23,136,1
1477,43139,67,162.6,9389.0,19,90,0
1477,52020,73,193.0,11638.8,27,120,1
2307,71392,158,101.8,17316.2,32,228,1
2307,67027,132,294.0,15072.2,30,243,0
1335,44338,83,167.2,9996.6,24,102,1
1335,37768,72,274.0,8799.8,12,125,0
1998,68898,112,494.8,17193.8,42,187,0
1998,79214,96,390.2,18646.6,61,198,1
1567,49708,89,406.6,11316.0,17,122,0
1567,56982,89,532.0,12694.6,35,130,1
2088,74351,191,274.6,17368.0,39,204,1
2088,69025,136,283.2,16797.8,27,185,0
1353,36593,85,221.8,8167.0,12,84,0
1353,44642,56,298.2,9636.2,26,108,1
925,35716,46,251.6,6788.8,25,45,1
925,23149,55,298.6,5205.2,7,43,0
1563,48655,71,250.6,11388.4,29,130,0
1563,59354,91,81.2,13467.4,35,113,1
1394,44935,85,449.4,8944.4,24,91,0
1394,52799,76,528.8,11643.0,32,139,1
1539,57698,125,139.4,12987.8,35,144,1
1539,50299,118,410.2,11625.8,28,134,0
1973,64695,134,198.0,14961.6,32,168,0
1973,67535,107,394.2,16212.4,34,190,1
1643,66104,70,220.2,14904.6,45,162,1
1643,60852,106,407.4,13073.0,41,106,0
1501,59649,107,377.4,12398.4,45,121,1
1501,45276,164,241.0,9834.8,20,106,0
1870,54872,89,406.8,13060.8,16,189,0
1870,65406,114,464.2,15272.0,33,207,1
1469,41769,104,242.8,9369.6,16,155,0
1469,46621,73,370.8,11261.8,19,168,1
1534,50531,65,266.0,11205.0,21,135,1
1534,45449,83,152.4,10070.4,25,139,0
1137,28104,58,371.8,6322.2,8,60,0
1137,42385,75,170.2,8385.0,30,83,1
1389,43601,64,487.6,8776.0,12,89,0
1389,49242,73,347.2,9565.2,24,166,1
1902,62759,140,414.4,15386.4,33,140,0
1902,69705,153,515.2,16113.6,42,172,1
1783,62695,219,557.0,13964.2,34,181,1
1783,55347,126,422.2,13024.6,25,135,0
1214,39247,64,276.2,8331.8,15,86,0
1214,42092,36,192.6,8667.2,19,80,1
1375,39272,55,189.2,8827.8,15,80,0
1375,54374,64,321.2,11542.2,33,120,1
1291,43237,63,220.2,10555.4,23,85,1
1291,36140,52,507.8,8687.2,8,91,0
1540,44679,92,316.4,10987.4,12,96,0
1540,55083,113,542.2,12383.2,28,110,1
1406,50855,95,552.2,11256.8,26,128,1
1406,39124,129,362.2,9198.6,12,104,0
2016,66827,102,391.0,16565.2,37,195,1
2016,63553,135,286.0,15064.4,29,179,0
1810,69683,126,366.6,14088.6,46,162,1
1810,61176,162,378.4,12598.6,34,145,0
1454,40509,67,314.8,9965.0,16,79,0
1454,55794,66,212.8,12815.8,35,126,1
1368,40864,73,405.8,9287.0,12,90,0
1368,49104,69,464.0,10902.4,29,127,1
1667,46217,126,402.4,9694.8,18,108,0
1667,56570,122,682.2,12699.4,26,164,1
1768,65335,87,542.8,14757.0,41,200,1
1768,57827,117,370.0,12480.0,25,202,0
1123,39513,83,350.4,8534.6,21,81,1
1123,32417,49,582.4,7468.2,13,51,0
1339,34080,48,406.8,8217.6,9,89,0
1339,44704,67,410.0,10001.4,27,109,1
1625,60996,118,330.0,13221.2,34,148,1
1625,47439,151,244.6,10841.4,19,105,0
1736,52112,115,393.8,11183.6,24,136,0
1736,54879,141,190.0,13274.6,26,137,1
1621,56655,79,347.2,12717.2,29,141,1
1621,43886,62,451.8,10372.4,12,143,0
2141,78437,152,267.6,19503.4,52,241,1
2141,72636,112,171.4,16885.4,42,186,0
1600,62161,93,179.6,14104.4,42,134,1
1600,49775,66,382.6,11377.0,21,117,0
1889,58542,147,427.4,14456.8,30,158,0
